Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,oligodendrocyte precursor cell,432,0.62237763,0.54545456
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,pericyte,7,0.57342654,0.94205797
Cx_Cuneus_rostralpart_Area_Prostriata_Pro,vascular associated smooth muscle cell,1,0.8771229,NA
Cx_FI,astrocyte,622,0.017982017,0.016983017
Cx_FI,central nervous system macrophage,341,0.1028971,0.14685315
Cx_FI,endothelial cell,40,0.03996004,0.18881118
Cx_FI,fibroblast,39,0.09490509,0.27672327
Cx_FI,leukocyte,4,0.000999001,0.9040959
Cx_FI,neuron,32607,0.6983017,0.8761239
Cx_FI,oligodendrocyte,690,0.14785215,0.15384616
Cx_FI,oligodendrocyte precursor cell,580,0.33566433,0.7052947
Cx_FI,pericyte,17,0.005994006,0.3926074
Cx_FI,vascular associated smooth muscle cell,9,0.16783217,0.026973028
Cx_FuGt,astrocyte,693,0.07892108,0.62637365
Cx_FuGt,central nervous system macrophage,219,0.043956045,0.5404595
Cx_FuGt,endothelial cell,9,0.014985015,0.07892108
Cx_FuGt,fibroblast,16,0.28671327,0.24575424
Cx_FuGt,leukocyte,10,0.008991009,0.9040959
Cx_FuGt,neuron,29403,0.6863137,0.86613387
Cx_FuGt,oligodendrocyte,1244,0.1968032,0.15084915
Cx_FuGt,oligodendrocyte precursor cell,295,0.30869132,0.81918085
Cx_FuGt,pericyte,8,0.37862137,0.5724276
Cx_FuGt,vascular associated smooth muscle cell,2,0.43656343,0.000999001
Cx_Ig,astrocyte,1157,0.0969031,0.46453547
Cx_Ig,central nervous system macrophage,357,0.14085914,0.018981019
Cx_Ig,endothelial cell,20,0.004995005,0.26273727
Cx_Ig,fibroblast,24,0.07492507,0.1928072
Cx_Ig,leukocyte,12,0.013986014,0.12987013
Cx_Ig,neuron,35308,0.43456542,0.52547455
Cx_Ig,oligodendrocyte,1509,0.22477522,0.64835167
Cx_Ig,oligodendrocyte precursor cell,530,0.5244755,0.36363637
Cx_Ig,pericyte,11,0.14585415,0.8901099
Cx_Ig,vascular associated smooth muscle cell,9,0.2847153,0.76523477
Cx_ITG,astrocyte,839,0.24075924,0.6163836
Cx_ITG,central nervous system macrophage,370,0.15284716,0.953047
Cx_ITG,endothelial cell,13,0.035964034,0.11188811
Cx_ITG,fibroblast,11,0.21878122,0.08791209
Cx_ITG,leukocyte,15,0.011988012,0.4935065
Cx_ITG,neuron,26596,0.4035964,0.84015983
Cx_ITG,oligodendrocyte,1192,0.3936064,0.45754245
Cx_ITG,oligodendrocyte precursor cell,475,0.6073926,0.85614383
Cx_ITG,pericyte,10,0.03996004,0.12687312
Cx_ITG,vascular associated smooth muscle cell,1,0.33866134,NA
Cx_LIG_Idg,astrocyte,984,0.0979021,0.33466533
Cx_LIG_Idg,central nervous system macrophage,407,0.1918082,0.47452548
Cx_LIG_Idg,endothelial cell,9,0.005994006,0.5814186
Cx_LIG_Idg,fibroblast,18,0.3966034,0.2957043
Cx_LIG_Idg,leukocyte,5,0.35964036,0.35864136
Cx_LIG_Idg,neuron,36450,0.5094905,0.64935064
Cx_LIG_Idg,oligodendrocyte,1191,0.2997003,0.72327673
Cx_LIG_Idg,oligodendrocyte precursor cell,622,0.44755244,0.24475524
Cx_LIG_Idg,pericyte,6,0.3026973,0.25174826
Cx_LIG_Idg,vascular associated smooth muscle cell,4,0.060939062,0.5494506
Cx_LiG_PrimaryVisualCortex,astrocyte,847,0.28171828,0.60639364
Cx_LiG_PrimaryVisualCortex,central nervous system macrophage,245,0.16183816,0.14385614
Cx_LiG_PrimaryVisualCortex,endothelial cell,15,0.001998002,0.38961038
Cx_LiG_PrimaryVisualCortex,fibroblast,7,0.37662336,0.9370629
Cx_LiG_PrimaryVisualCortex,leukocyte,13,0.08091908,0.28071928
Cx_LiG_PrimaryVisualCortex,neuron,30599,0.2947053,0.54745257
Cx_LiG_PrimaryVisualCortex,oligodendrocyte,1375,0.5074925,0.6983017
Cx_LiG_PrimaryVisualCortex,oligodendrocyte precursor cell,365,0.73926073,0.7962038
Cx_LiG_PrimaryVisualCortex,pericyte,15,0.27972028,0.37362638
Cx_LiG_PrimaryVisualCortex,vascular associated smooth muscle cell,3,0.068931065,0.000999001
Cx_MFG,astrocyte,965,0.103896104,0.94205797
Cx_MFG,central nervous system macrophage,213,0.18481518,0.997003
Cx_MFG,endothelial cell,6,0.0999001,0.000999001
Cx_MFG,fibroblast,8,0.33666334,0.09490509
Cx_MFG,leukocyte,6,0.0979021,0.6683317
Cx_MFG,neuron,27923,0.7032967,0.8091908
Cx_MFG,oligodendrocyte,1459,0.1968032,0.030969031
Cx_MFG,oligodendrocyte precursor cell,472,0.43656343,0.7202797
Cx_MFG,pericyte,10,0.033966035,0.2947053
Cx_MFG,vascular associated smooth muscle cell,3,0.16283716,0.6853147
CX_MTG,astrocyte,4947,0.10889111,0.6123876
CX_MTG,central nervous system macrophage,2241,0.14485514,0.054945055
CX_MTG,endothelial cell,131,0.004995005,0.1878122
CX_MTG,fibroblast,117,0.060939062,0.26573426
CX_MTG,leukocyte,74,0.015984016,0.2917083
CX_MTG,neuron,85093,0.77722275,0.7122877
CX_MTG,oligodendrocyte,11602,0.21778221,0.5314685
CX_MTG,oligodendrocyte precursor cell,3015,0.4025974,0.991009
CX_MTG,pericyte,76,0.015984016,0.06793207
CX_MTG,vascular associated smooth muscle cell,5,0.027972028,0.03996004
Cx_PaO_A43,astrocyte,1215,0.1958042,0.4125874
Cx_PaO_A43,central nervous system macrophage,437,0.15884116,0.060939062
Cx_PaO_A43,endothelial cell,21,0.03196803,0.14985014
Cx_PaO_A43,ependymal cell,1,0.5074925,NA
Cx_PaO_A43,fibroblast,38,0.11588412,0.7912088
Cx_PaO_A43,leukocyte,10,0.054945055,0.15384616
Cx_PaO_A43,neuron,39028,0.42657343,0.7752248
Cx_PaO_A43,oligodendrocyte,1539,0.43556443,0.86413586
Cx_PaO_A43,oligodendrocyte precursor cell,527,0.44455543,0.45454547
Cx_PaO_A43,pericyte,18,0.07892108,0.3126873
Cx_PoCG_S1C,astrocyte,658,0.18981019,0.6853147
Cx_PoCG_S1C,central nervous system macrophage,328,0.17682318,0.2927073
Cx_PoCG_S1C,endothelial cell,16,0.017982017,0.12287712
Cx_PoCG_S1C,fibroblast,10,0.1938062,0.8931069
Cx_PoCG_S1C,leukocyte,9,0.17682318,0.30669332
Cx_PoCG_S1C,neuron,35453,0.37662336,0.7262737
Cx_PoCG_S1C,oligodendrocyte,1509,0.31768233,0.08191808
Cx_PoCG_S1C,oligodendrocyte precursor cell,194,0.5784216,0.7982018
Cx_PoCG_S1C,pericyte,7,0.04995005,0.45354646
Cx_PoCG_S1C,vascular associated smooth muscle cell,4,0.13686314,0.83716285
Cx_POrg_Caudal_division_OFCi,astrocyte,749,0.103896104,0.061938062
Cx_POrg_Caudal_division_OFCi,central nervous system macrophage,158,0.060939062,0.62437564
Cx_POrg_Caudal_division_OFCi,endothelial cell,8,0.02997003,0.05294705
Cx_POrg_Caudal_division_OFCi,fibroblast,15,0.08591408,0.4005994
Cx_POrg_Caudal_division_OFCi,leukocyte,6,0.006993007,0.4225774
Cx_POrg_Caudal_division_OFCi,neuron,32634,0.63936067,0.6813187
Cx_POrg_Caudal_division_OFCi,oligodendrocyte,1008,0.17182817,0.78821176
Cx_POrg_Caudal_division_OFCi,oligodendrocyte precursor cell,331,0.43756244,0.014985015
Cx_POrg_Caudal_division_OFCi,pericyte,9,0.033966035,0.002997003
Cx_POrg_Caudal_division_OFCi,vascular associated smooth muscle cell,1,0.016983017,NA
Cx_PPH_TH-TL,astrocyte,2646,0.06793207,0.044955045
Cx_PPH_TH-TL,central nervous system macrophage,738,0.11388611,0.47152847
Cx_PPH_TH-TL,endothelial cell,31,0.017982017,0.030969031
Cx_PPH_TH-TL,fibroblast,62,0.04995005,0.35864136
Cx_PPH_TH-TL,leukocyte,24,0.001998002,0.13386613
Cx_PPH_TH-TL,neuron,32230,0.76823175,0.45854145
Cx_PPH_TH-TL,oligodendrocyte,2990,0.114885114,0.13786213
Cx_PPH_TH-TL,oligodendrocyte precursor cell,1939,0.43856144,0.07692308
Cx_PPH_TH-TL,pericyte,10,0.023976024,0.28971028
Cx_PPH_TH-TL,vascular associated smooth muscle cell,7,0.07692308,0.43556443
CX_PRCG_Primary_motor_cortex_M1C,astrocyte,1492,0.25174826,0.5694306
CX_PRCG_Primary_motor_cortex_M1C,central nervous system macrophage,274,0.22877122,0.8681319
CX_PRCG_Primary_motor_cortex_M1C,choroid plexus epithelial cell,1,0.13386613,NA
CX_PRCG_Primary_motor_cortex_M1C,endothelial cell,55,0.17282717,0.6973027
